,Name,QS_Rank,Country,Region,url,fac_staff,fac_staffint,students,students_int,stats_student_staff_ratio,stats_pc_intl_students,QS_Rank_unique
143,Technische Universität Berlin (TU Berlin),144,Germany,Europe,/universities/technische-universit%C3%A4t-berlin-tu-berlin,2562,377,22176,4494,8.655737704918034,20.265151515151516,144
144,The Hebrew University of Jerusalem,145,Israel,Asia,/universities/hebrew-university-jerusalem,2249,454,16531,1034,7.350377945753668,6.254915008166475,145
145,University of Lausanne,146,Switzerland,Europe,/universities/university-lausanne,2173,1031,13435,3337,6.182696732627703,24.838109415705247,146
146,Erasmus University Rotterdam,=147,Netherlands,Europe,/universities/erasmus-university-rotterdam,2011,458,23273,5229,11.572849328692193,22.468096076999096,147
147,Emory University,=147,United States,North America,/universities/emory-university,2560,484,12852,2154,5.0203125,16.760037348272643,148
148,University of Basel,=149,Switzerland,Europe,/universities/university-basel,1057,684,12852,3441,12.158940397350994,26.77404295051354,149
149,Michigan State University,=149,United States,North America,/universities/michigan-state-university,2884,653,44951,7427,15.58633841886269,16.522435540922338,150
150,University of Otago,151,New Zealand,Oceania,/universities/university-otago,1266,759,18532,3871,14.638230647709321,20.888193395208287,151
151,University of Waterloo,152,Canada,North America,/universities/university-waterloo,1689,473,35541,8962,21.042628774422734,25.215947778621874,152
152,Université catholique de Louvain (UCL),153,Belgium,Europe,/universities/universit%C3%A9-catholique-de-louvain-ucl,1219,406,24277,4468,19.915504511894994,18.40425093710096,153
153,University of Vienna,154,Austria,Europe,/universities/university-vienna,3411,1400,45967,14468,13.476106713573731,31.47475362760241,154
154,Hanyang University,155,South Korea,Asia,/universities/hanyang-university,3085,364,23348,3397,7.568233387358185,14.549426075038546,155
155,Universitat de Barcelona,156,Spain,Europe,/universities/universitat-de-barcelona,3863,108,46002,6134,11.908361377168005,13.334202860745185,156
156,École Normale Supérieure de Lyon,157,France,Europe,/universities/%C3%A9cole-normale-sup%C3%A9rieure-de-lyon,382,91,2020,221,5.287958115183246,10.94059405940594,157
157,University of Aberdeen,=158,United Kingdom,Europe,/universities/university-aberdeen,1310,508,12005,4246,9.164122137404581,35.3685964181591,158
158,The University of Exeter,=158,United Kingdom,Europe,/universities/university-exeter,1756,597,20749,5504,11.816059225512529,26.52657959419731,159
159,University of Bath,160,United Kingdom,Europe,/universities/university-bath,1165,440,14370,4213,12.334763948497853,29.318023660403618,160
160,Newcastle University,=161,United Kingdom,Europe,/universities/newcastle-university,2428,835,21673,5717,8.926276771004943,26.378443224288286,161
161,National Tsing Hua University,=161,Taiwan,Asia,/universities/national-tsing-hua-university,1020,119,13890,1187,13.617647058823529,8.545716342692584,162
162,University of Minnesota,163,United States,North America,/universities/university-minnesota,4919,195,59742,6542,12.145151453547468,10.950420139935055,163
163,University of Bergen,=164,Norway,Europe,/universities/university-bergen,1513,484,10671,767,7.052875082617317,7.187704994845844,164
164,"University of California, Irvine",=164,United States,North America,/universities/university-california-irvine,1926,377,32151,8538,16.693146417445483,26.55593916207894,165
165,Eberhard Karls Universität Tübingen,=164,Germany,Europe,/universities/eberhard-karls-universit%C3%A4t-t%C3%BCbingen,3844,796,27366,3860,7.1191467221644125,14.105093912153768,166
166,University of Bern,167,Switzerland,Europe,/universities/university-bern,1172,661,10758,1618,9.179180887372013,15.03997025469418,167
167,University College Dublin,168,Ireland,Europe,/universities/university-college-dublin,1604,627,19833,3876,12.364713216957606,19.54318559975798,168
168,Dartmouth College,169,United States,North America,/universities/dartmouth-college,939,27,6224,945,6.628328008519702,15.183161953727506,169
169,Politecnico di Milano,170,Italy,Europe,/universities/politecnico-di-milano,1500,231,36277,5593,24.184666666666665,15.417482151225295,170
170,Albert-Ludwigs-Universitaet Freiburg,171,Germany,Europe,/universities/albert-ludwigs-universitaet-freiburg,1966,413,23214,3897,11.807731434384538,16.787283535797364,171
171,Indian Institute of Technology Delhi (IITD),172,India,Asia,/universities/indian-institute-technology-delhi-iitd,466,4,7477,80,16.045064377682404,1.069947840042798,172
172,King Fahd University of Petroleum & Minerals,=173,Saudi Arabia,Asia,/universities/king-fahd-university-petroleum-minerals,1062,665,6040,989,5.687382297551789,16.374172185430464,173
173,University of Liverpool,=173,United Kingdom,Europe,/universities/university-liverpool,2390,717,22065,7502,9.232217573221757,33.99954679356447,174
174,University of Virginia,=173,United States,North America,/universities/university-virginia,2509,487,21560,1899,8.593064966121961,8.807977736549166,175
175,University of Technology Sydney,176,Australia,Oceania,/universities/university-technology-sydney,1328,546,24207,7769,18.22816265060241,32.0940223902177,176
