Kanton,Monat,Jan-16,Jan-16,Jan-16,Jan-16,Feb-16,Feb-16,Feb-16,Feb-16,Maerz 2016,Maerz 2016,Maerz 2016,Maerz 2016,Apr-16,Apr-16,Apr-16,Apr-16,Mai 2016,Mai 2016,Mai 2016,Mai 2016,Juni 2016,Juni 2016,Juni 2016,Juni 2016,Juli 2016,Juli 2016,Juli 2016,Juli 2016,Aug-16,Aug-16,Aug-16,Aug-16,Sep-16,Sep-16,Sep-16,Sep-16,Oktober 2016,Oktober 2016,Oktober 2016,Oktober 2016,Nov-16,Nov-16,Nov-16,Nov-16,Dezember 2016,Dezember 2016,Dezember 2016,Dezember 2016,Gesamt,Gesamt,Gesamt,Gesamt
 ,Metriken,Arbeitslosenquote,Registrierte Arbeitslose,Registrierte Stellensuchende,Nicht arbeitslose Stellensuchende,Arbeitslosenquote,Registrierte Arbeitslose,Registrierte Stellensuchende,Nicht arbeitslose Stellensuchende,Arbeitslosenquote,Registrierte Arbeitslose,Registrierte Stellensuchende,Nicht arbeitslose Stellensuchende,Arbeitslosenquote,Registrierte Arbeitslose,Registrierte Stellensuchende,Nicht arbeitslose Stellensuchende,Arbeitslosenquote,Registrierte Arbeitslose,Registrierte Stellensuchende,Nicht arbeitslose Stellensuchende,Arbeitslosenquote,Registrierte Arbeitslose,Registrierte Stellensuchende,Nicht arbeitslose Stellensuchende,Arbeitslosenquote,Registrierte Arbeitslose,Registrierte Stellensuchende,Nicht arbeitslose Stellensuchende,Arbeitslosenquote,Registrierte Arbeitslose,Registrierte Stellensuchende,Nicht arbeitslose Stellensuchende,Arbeitslosenquote,Registrierte Arbeitslose,Registrierte Stellensuchende,Nicht arbeitslose Stellensuchende,Arbeitslosenquote,Registrierte Arbeitslose,Registrierte Stellensuchende,Nicht arbeitslose Stellensuchende,Arbeitslosenquote,Registrierte Arbeitslose,Registrierte Stellensuchende,Nicht arbeitslose Stellensuchende,Arbeitslosenquote,Registrierte Arbeitslose,Registrierte Stellensuchende,Nicht arbeitslose Stellensuchende,Arbeitslosenquote,Registrierte Arbeitslose,Registrierte Stellensuchende,Nicht arbeitslose Stellensuchende
Schaffhausen,,3.5,1540,2659,1119,3.4,1487,2681,1194,3.4,1473,2670,1197,3.2,1412,2589,1177,3.3,1431,2616,1185,3.2,1412,2572,1160,3.2,1385,2438,1053,3.2,1387,2489,1102,3.3,1423,2504,1081,3.2,1377,2460,1083,3.2,1414,2547,1133,3.5,1513,2564,1051,3.3,17254,30789,13535
Appenzell Ausserrhoden,,2.1,629,992,363,2,617,987,370,2,604,974,370,1.9,571,939,368,1.7,519,898,379,1.7,518,914,396,1.7,525,935,410,1.8,562,951,389,1.8,539,940,401,1.7,517,922,405,1.7,530,976,446,1.8,563,1001,438,1.8,6694,11429,4735
Appenzell Innerrhoden,,1.3,116,149,33,1.2,111,149,38,1.1,98,143,45,1.1,97,151,54,1,92,143,51,1,87,134,47,0.9,84,129,45,1,91,130,39,1,86,128,42,1,87,128,41,1.2,107,150,43,1.4,126,167,41,1.1,1182,1701,519
St. Gallen,,2.8,7628,12094,4466,2.8,7664,12143,4479,2.6,7328,11916,4588,2.5,6968,11497,4529,2.5,6799,11333,4534,2.3,6501,11140,4639,2.3,6505,11011,4506,2.5,6792,11154,4362,2.4,6631,11197,4566,2.4,6713,11401,4688,2.5,6860,11710,4850,2.6,7319,11997,4678,2.5,83708,138593,54885
Graubuenden,,2.1,2289,3997,1708,1.9,2046,3944,1898,1.7,1908,3915,2007,2.3,2517,4042,1525,2,2220,3631,1411,1.4,1526,2951,1425,1.2,1369,2795,1426,1.2,1300,2767,1467,1.3,1379,2899,1520,1.7,1867,3487,1620,1.9,2100,3835,1735,1.9,2094,3765,1671,1.7,22615,42028,19413
Aargau,,3.4,12311,16408,4097,3.4,12297,16529,4232,3.3,11945,16298,4353,3.2,11505,15885,4380,3.1,11274,15760,4486,3,10970,15593,4623,3,10801,15358,4557,3,11008,15485,4477,3,10999,15546,4547,3.1,11123,15816,4693,3.2,11519,16354,4835,3.3,12054,16677,4623,3.2,137806,191709,53903
Thurgau,,2.9,4338,6552,2214,2.9,4415,6652,2237,2.8,4227,6568,2341,2.6,3927,6271,2344,2.5,3781,6157,2376,2.4,3559,5961,2402,2.3,3405,5722,2317,2.3,3498,5719,2221,2.4,3565,5874,2309,2.3,3517,5907,2390,2.4,3547,6095,2548,2.5,3754,6265,2511,2.5,45533,73743,28210
Tessin,,4.2,7110,10677,3567,4.2,7034,10610,3576,3.7,6193,9689,3496,3.4,5749,9133,3384,3.2,5403,8765,3362,3.1,5119,8481,3362,3,5069,8371,3302,3.1,5154,8462,3308,3.2,5374,8761,3387,3.4,5697,9344,3647,3.6,6085,9842,3757,3.9,6537,10175,3638,3.5,70524,112310,41786
Waadt,,5.1,20440,27341,6901,5.1,20096,27327,7231,4.9,19361,26914,7553,4.7,18551,26126,7575,4.5,18054,25668,7614,4.4,17482,25095,7613,4.5,17725,24922,7197,4.7,18547,25862,7315,4.6,18236,25760,7524,4.6,18232,25962,7730,4.7,18467,26463,7996,5,19703,27411,7708,4.7,224894,314851,89957
Wallis,,5.5,9609,13761,4152,5,8768,13297,4529,4.4,7580,12095,4515,4,6987,10737,3750,3.6,6321,9815,3494,3.2,5521,8827,3306,3.1,5385,8556,3171,3.2,5571,8753,3182,3.2,5599,8838,3239,3.3,5734,9206,3472,3.8,6539,10340,3801,5.1,8860,12700,3840,3.9,82474,126925,44451
Neuenburg,,6.1,5654,7319,1665,6.1,5650,7314,1664,5.8,5366,7151,1785,5.6,5169,6964,1795,5.5,5107,6954,1847,5.4,5006,6910,1904,5.6,5215,7015,1800,5.8,5349,7105,1756,5.8,5331,7151,1820,5.7,5289,7190,1901,5.9,5406,7361,1955,6.3,5840,7605,1765,5.8,64382,86039,21657
Genf,,5.8,13644,16864,3220,5.7,13449,16906,3457,5.7,13284,16905,3621,5.5,12886,16678,3792,5.4,12738,16582,3844,5.3,12482,16355,3873,5.4,12637,16237,3600,5.5,12830,16317,3487,5.5,12961,16491,3530,5.5,12994,16551,3557,5.4,12730,16516,3786,5.5,12947,16711,3764,5.5,155582,199113,43531
Jura,,4.8,1765,2396,631,4.8,1754,2432,678,4.7,1719,2425,706,4.4,1627,2351,724,4.3,1585,2320,735,4.3,1576,2355,779,4.5,1639,2398,759,4.7,1731,2397,666,4.6,1693,2360,667,4.6,1691,2426,735,4.6,1696,2498,802,5.1,1865,2617,752,4.6,20341,28975,8634
Gesamt,,3.6,163644,222751,59107,3.6,161417,222888,61471,3.5,155324,218187,62863,3.3,149540,210926,61386,3.2,144778,206239,61461,3.1,139127,201131,62004,3.1,139310,199347,60037,3.2,142858,201989,59131,3.2,142675,203568,60893,3.2,144531,207512,62981,3.3,149228,215215,65987,3.5,159372,223413,64041,3.3,1791804,2533166,741362
