Year,district_name,CH_nonCH,Total
1995,Hirslanden,Swiss,5463
1995,Hirzenbach,Foreign,3123
1995,Hirzenbach,Swiss,7872
1995,Hochschulen,Foreign,168
1995,Hochschulen,Swiss,614
1995,Hottingen,Foreign,2207
1995,Hottingen,Swiss,8027
1995,Höngg,Foreign,2910
1995,Höngg,Swiss,16333
1995,Langstrasse,Foreign,5215
1995,Langstrasse,Swiss,5737
1995,Leimbach,Foreign,781
1995,Leimbach,Swiss,3866
1995,Lindenhof,Foreign,165
1995,Lindenhof,Swiss,931
1995,Mühlebach,Foreign,1223
1995,Mühlebach,Swiss,4388
1995,Oberstrass,Foreign,2331
1995,Oberstrass,Swiss,7790
1995,Oerlikon,Foreign,5319
1995,Oerlikon,Swiss,11714
1995,Rathaus,Foreign,576
1995,Rathaus,Swiss,2473
1995,Saatlen,Foreign,1548
1995,Saatlen,Swiss,4894
1995,Schwamendingen-Mitte,Foreign,3400
1995,Schwamendingen-Mitte,Swiss,6848
1995,Seebach,Foreign,5335
1995,Seebach,Swiss,12365
1995,Seefeld,Foreign,1362
1995,Seefeld,Swiss,3919
1995,Sihlfeld,Foreign,8136
1995,Sihlfeld,Swiss,13317
1995,Unterstrass,Foreign,4518
1995,Unterstrass,Swiss,15838
1995,Weinegg,Foreign,1283
1995,Weinegg,Swiss,3588
1995,Werd,Foreign,1623
1995,Werd,Swiss,2382
1995,Wipkingen,Foreign,5514
1995,Wipkingen,Swiss,10566
1995,Witikon,Foreign,1413
1995,Witikon,Swiss,8319
1995,Wollishofen,Foreign,3309
1995,Wollishofen,Swiss,12609
1996,Affoltern,Foreign,4440
1996,Affoltern,Swiss,13682
1996,Albisrieden,Foreign,3510
1996,Albisrieden,Swiss,13195
1996,Alt-Wiedikon,Foreign,5062
1996,Alt-Wiedikon,Swiss,9807
1996,Altstetten,Foreign,9190
1996,Altstetten,Swiss,18470
1996,City,Foreign,301
1996,City,Swiss,680
1996,Enge,Foreign,1906
1996,Enge,Swiss,6249
1996,Escher Wyss,Foreign,719
1996,Escher Wyss,Swiss,922
1996,Fluntern,Foreign,1398
1996,Fluntern,Swiss,5780
1996,Friesenberg,Foreign,1983
1996,Friesenberg,Swiss,8010
1996,Gewerbeschule,Foreign,4657
1996,Gewerbeschule,Swiss,5043
1996,Hard,Foreign,6162
1996,Hard,Swiss,6775
1996,Hirslanden,Foreign,1193
1996,Hirslanden,Swiss,5510
1996,Hirzenbach,Foreign,3238
1996,Hirzenbach,Swiss,7752
1996,Hochschulen,Foreign,169
