Year,borough_code,borough_name,tax_code,tax_class,tax_wealth_p50,tax_wealth_p25,tax_wealth_p75
1999,115,Oerlikon,2,single parent family rate,5.0,0.0,54.0
1999,119,Seebach,0,base rate,15.0,0.0,93.0
1999,119,Seebach,1,couple rate,66.0,0.0,223.0
1999,119,Seebach,2,single parent family rate,0.0,0.0,20.0
1999,121,Saatlen,0,base rate,13.0,0.0,68.0
1999,121,Saatlen,1,couple rate,43.0,0.0,148.0
1999,121,Saatlen,2,single parent family rate,1.0,0.0,22.0
1999,122,Schwamendingen-Mitte,0,base rate,16.0,0.0,88.0
1999,122,Schwamendingen-Mitte,1,couple rate,51.0,0.0,208.0
1999,122,Schwamendingen-Mitte,2,single parent family rate,0.0,0.0,17.0
1999,123,Hirzenbach,0,base rate,17.0,0.0,70.0
1999,123,Hirzenbach,1,couple rate,53.0,2.0,186.0
1999,123,Hirzenbach,2,single parent family rate,1.0,0.0,21.0
2000,11,Rathaus,0,base rate,20.0,0.0,149.0
2000,11,Rathaus,1,couple rate,211.0,32.0,782.0
2000,11,Rathaus,2,single parent family rate,49.0,1.0,394.0
2000,12,Hochschulen,0,base rate,32.5,0.0,180.0
2000,12,Hochschulen,1,couple rate,275.0,68.0,956.0
2000,12,Hochschulen,2,single parent family rate,149.0,0.0,339.0
2000,13,Lindenhof,0,base rate,65.0,3.0,315.0
2000,13,Lindenhof,1,couple rate,307.5,31.0,1362.0
2000,13,Lindenhof,2,single parent family rate,41.5,2.0,577.0
2000,14,City,0,base rate,11.0,0.0,89.0
2000,14,City,1,couple rate,51.0,2.0,245.0
2000,14,City,2,single parent family rate,9.0,0.0,70.0
2000,21,Wollishofen,0,base rate,40.0,5.0,195.0
2000,21,Wollishofen,1,couple rate,144.0,32.0,433.0
2000,21,Wollishofen,2,single parent family rate,8.0,0.0,59.0
2000,23,Leimbach,0,base rate,30.0,2.0,143.0
2000,23,Leimbach,1,couple rate,116.0,20.0,393.0
2000,23,Leimbach,2,single parent family rate,8.0,0.0,54.0
2000,24,Enge,0,base rate,38.0,1.0,215.0
2000,24,Enge,1,couple rate,203.0,33.0,753.0
2000,24,Enge,2,single parent family rate,7.0,0.0,113.0
2000,31,Alt-Wiedikon,0,base rate,23.0,0.0,113.0
2000,31,Alt-Wiedikon,1,couple rate,62.0,0.0,279.0
2000,31,Alt-Wiedikon,2,single parent family rate,1.0,0.0,50.0
2000,33,Friesenberg,0,base rate,21.0,0.0,97.0
2000,33,Friesenberg,1,couple rate,76.5,10.0,209.0
