Year,district_name,gender,Total
1995,Unterstrass,F,10894
1995,Unterstrass,M,9462
1995,Weinegg,F,2663
1995,Weinegg,M,2208
1995,Werd,F,1958
1995,Werd,M,2047
1995,Wipkingen,F,8380
1995,Wipkingen,M,7700
1995,Witikon,F,5425
1995,Witikon,M,4307
1995,Wollishofen,F,8778
1995,Wollishofen,M,7140
1996,Affoltern,F,9376
1996,Affoltern,M,8746
1996,Albisrieden,F,9039
1996,Albisrieden,M,7666
1996,Alt-Wiedikon,F,7542
1996,Alt-Wiedikon,M,7327
1996,Altstetten,F,14249
1996,Altstetten,M,13411
1996,City,F,445
1996,City,M,536
1996,Enge,F,4226
1996,Enge,M,3929
1996,Escher Wyss,F,749
1996,Escher Wyss,M,892
1996,Fluntern,F,3946
1996,Fluntern,M,3232
1996,Friesenberg,F,5291
1996,Friesenberg,M,4702
1996,Gewerbeschule,F,4236
1996,Gewerbeschule,M,5464
1996,Hard,F,6548
1996,Hard,M,6389
1996,Hirslanden,F,3816
1996,Hirslanden,M,2887
1996,Hirzenbach,F,5855
1996,Hirzenbach,M,5135
1996,Hochschulen,F,337
1996,Hochschulen,M,416
1996,Hottingen,F,5599
1996,Hottingen,M,4749
1996,Höngg,F,10420
1996,Höngg,M,9184
1996,Langstrasse,F,4778
1996,Langstrasse,M,5940
1996,Leimbach,F,2423
1996,Leimbach,M,2130
1996,Lindenhof,F,518
1996,Lindenhof,M,526
1996,Mühlebach,F,2999
1996,Mühlebach,M,2567
1996,Oberstrass,F,5397
1996,Oberstrass,M,4713
1996,Oerlikon,F,8683
1996,Oerlikon,M,8130
1996,Rathaus,F,1364
1996,Rathaus,M,1714
1996,Saatlen,F,3315
1996,Saatlen,M,3069
1996,Schwamendingen-Mitte,F,5388
1996,Schwamendingen-Mitte,M,4753
1996,Seebach,F,9044
1996,Seebach,M,8580
1996,Seefeld,F,2721
1996,Seefeld,M,2505
1996,Sihlfeld,F,10990
1996,Sihlfeld,M,10243
1996,Unterstrass,F,10860
1996,Unterstrass,M,9458
1996,Weinegg,F,2666
1996,Weinegg,M,2234
1996,Werd,F,1920
1996,Werd,M,2059
1996,Wipkingen,F,8307
1996,Wipkingen,M,7824
1996,Witikon,F,5362
1996,Witikon,M,4285
1996,Wollishofen,F,8731
1996,Wollishofen,M,7113
1997,Affoltern,F,9412
1997,Affoltern,M,8765
1997,Albisrieden,F,9016
1997,Albisrieden,M,7614
1997,Alt-Wiedikon,F,7512
1997,Alt-Wiedikon,M,7488
1997,Altstetten,F,14110
1997,Altstetten,M,13553
1997,City,F,453
1997,City,M,543
1997,Enge,F,4219
1997,Enge,M,3945
1997,Escher Wyss,F,724
1997,Escher Wyss,M,898
1997,Fluntern,F,3876
1997,Fluntern,M,3315
1997,Friesenberg,F,5295
1997,Friesenberg,M,4696
1997,Gewerbeschule,F,4115
1997,Gewerbeschule,M,5410
1997,Hard,F,6497
1997,Hard,M,6387
1997,Hirslanden,F,3765
1997,Hirslanden,M,2894
1997,Hirzenbach,F,5876
1997,Hirzenbach,M,5137
